item_name,survey,study,year,prop_r_correct,prop_d_correct,dem_minus_rep,std.error,statistic,p.value,n_dem,n_rep,prop_correct_all
jnj_66,jnj,Jerit & Barabas,-1,0.2820512820512808,0.33465608465608354,0.05260480260480274,0.025011812651159517,2.103198330264322,0.03562935484802239,756,624,0.31086956521739
jnj_67,jnj,Jerit & Barabas,-1,0.8132183908045963,0.783505154639173,-0.02971323616542332,0.02968673959083208,-1.000892539058059,0.31720860599438794,388,348,0.797554347826085
jnj_68,jnj,Jerit & Barabas,-1,0.8563218390804576,0.7860824742268016,-0.07023936485365596,0.028328250724621088,-2.479481191283316,0.013380777820486066,388,348,0.819293478260867
jnj_71,jnj,Jerit & Barabas,-1,0.5390625000000021,0.42345276872964366,-0.11560973127035845,0.042063299947676006,-2.7484703153145236,0.006180170931177589,307,256,0.4760213143872131
jnj_72,jnj,Jerit & Barabas,-1,0.7219047619047483,0.6672443674176644,-0.05466039448708395,0.027789371280149806,-1.9669532619519303,0.04943964196575729,577,525,0.6932849364791155
jnj_73,jnj,Jerit & Barabas,-1,0.3828571428571436,0.29982668977469634,-0.08303045308244728,0.028475122799860492,-2.915894469219078,0.0036186564340136102,577,525,0.33938294010889325
jnj_74,jnj,Jerit & Barabas,-1,0.6124031007752005,0.501650165016509,-0.11075293575869154,0.024182991496406576,-4.579786407944966,4.9968962559691125e-6,909,774,0.5525846702317354
jnj_75,jnj,Jerit & Barabas,-1,0.42377260981911913,0.32453245324532426,-0.09924015657379485,0.023505537476706976,-4.221990527642169,2.5510373666162802e-5,909,774,0.37017231134878004
jnj_78,jnj,Jerit & Barabas,-1,0.26229508196721274,0.1330049261083743,-0.12929015585883843,0.03989442394087485,-3.240807689075839,0.0012959285920062554,203,183,0.19430051813471483
jnj_79,jnj,Jerit & Barabas,-1,0.12021857923497258,0.07881773399014778,-0.04140084524482479,0.03037345104797685,-1.3630602982660565,0.17366221352730554,203,183,0.09844559585492223
jnj_80,jnj,Jerit & Barabas,-1,0.29508196721311436,0.19211822660098565,-0.1029637406121287,0.043388508963001594,-2.373064737023536,0.018132765401796737,203,183,0.24093264248704668
jnj_82,jnj,Jerit & Barabas,-1,0.31147540983606525,0.1674876847290644,-0.14398772510700086,0.0427534727833228,-3.3678603335158153,8.341407963540272e-4,203,183,0.23575129533678757
jnj_84,jnj,Jerit & Barabas,-1,0.1420765027322406,0.11764705882352948,-0.024429443908711112,0.0350099246935195,-0.6977862455451987,0.4857515225387409,187,183,0.12972972972972982
jnj_86,jnj,Jerit & Barabas,-1,0.22950819672131156,0.1711229946524064,-0.058385202068905157,0.041594117217236645,-1.4036889342781933,0.16125477957419837,187,183,0.19999999999999993
